track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity
Blinding Lights,Blinding Lights,The Weeknd,11/29/19,USUG11904206,56,194,"4,281,468,720","590,392","165,544,011",83
Blinding Lights,Blinding Lights,xSyborg,3/13/21,QZLBC2302779,"4,229",20.5,"4,261,328,190",,,
Shape of You,Shape of You,Ed Sheeran,1/6/17,GBAHS1600463,54,195.1,"3,909,458,734","316,378","148,037,882",80
Shape of You,Shape of You,xSyborg,2/20/21,QZLBC2302789,"1,807",36.3,"3,888,356,417",,,
Someone You Loved,Breach,Lewis Capaldi,11/8/18,DEUM71807062,133,129.7,"3,427,498,835","338,763","160,553,919",82
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/18,USUM71814888,116,143.9,"3,358,704,125","392,082","123,917,182",79
As It Was,As It Was,Harry Styles,3/31/22,USSM12200612,20,292,"3,301,814,535","407,119","169,783,402",87
As It Was,As It Was (Official Video),Harry Styles,3/31/22,USSM22200594,"3,410",23.5,"3,299,082,422",1,1,
Starboy,Starboy,The Weeknd,9/22/16,USUG11600976,265,95.7,"3,291,262,413","366,133","98,022,646",84
One Dance,One Dance (feat. Wizkid & Kyla) - Single,Drake,4/4/16,USCM51600028,518,67.9,"3,192,204,066","379,853","131,832,723",82
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/21,USSM12103949,27,266.3,"3,107,100,349","451,732","134,793,519",78
STAY (with Justin Bieber),Stay,The Kid LAROI,7/9/21,USSM12104470,"2,385",29.2,"3,107,100,349","11,726","2,225,897",53
Dance Monkey,Dance Monkey,Tones And I,5/10/19,QZES71982312,40,214.5,"3,071,214,106","375,201","64,901,153",71
Believer,Believer,Imagine Dragons,1/31/17,USUM71700626,119,142.2,"3,006,226,762","335,880","89,243,475",81
Heat Waves,Heat Waves,Glass Animals,6/29/20,GBUM72000433,71,175,"2,996,181,078","486,278","112,416,489",82
Perfect,ýý (Deluxe),Ed Sheeran,3/3/17,GBAHS1700024,81,167.5,"2,969,999,682","280,165","116,921,604",81
rockstar (feat. 21 Savage),rockstar,Post Malone,9/15/17,USUM71710087,231,101.8,"2,960,046,642","352,745","82,442,565",77
Sweater Weather,I'm Sorry...,The Neighbourhood,1/1/12,USSM11300080,809,53.9,"2,916,412,507","415,650","149,359,220",85
Closer,Closer,The Chainsmokers,7/29/16,USQX91601347,173,114.6,"2,880,536,961","285,381","129,399,627",80
Say You Won't Let Go,Say You Won't Let Go,James Arthur,9/9/16,DEE861600586,462,71.5,"2,830,962,669","233,504","128,647,419",82
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,5/25/18,USUM71911283,165,117.6,"2,738,293,818","251,033","108,433,327",74
Watermelon Sugar,Watermelon Sugar,Harry Styles,11/17/19,USSM11912587,243,99.7,"2,708,151,499","298,135","159,003,869",82
Don't Start Now,Don't Start Now,Dua Lipa,10/31/19,GBAHT1901121,149,124.6,"2,607,121,959","270,230","143,953,432",78
Something Just Like This,Something Just Like This,The Chainsmokers,2/22/17,USQX91700278,273,94,"2,596,644,721","278,237","128,709,855",82
Lucid Dreams,Lucid Dreams,Juice WRLD,5/4/18,USUG11800685,150,123.9,"2,548,389,305","339,306","75,858,140",78
Take Me to Church,Take Me To Church,Hozier,9/16/13,IEACJ1300031,"1,293",41.4,"2,544,489,950","238,611","69,693,570",78
Take Me to Church,Take Me to Church EP,Hozier,9/13/13,USSM11307291,"2,276",30,"2,544,489,950","113,315","30,950,638",74
Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,1/1/13,AULI01385760,"1,223",42.8,"2,541,833,602","369,150","165,607,442",80
God's Plan,Diplomatic Immunity,Drake,1/20/18,USCM51800004,278,92.9,"2,529,948,475","313,741","79,266,167",77
Photograph,x (Wembley Edition),Ed Sheeran,1/1/13,GBAHS1400094,980,48.8,"2,525,355,904","208,671","121,163,411",77
